,Theme,Sub Theme,Feature Name,Latitude,Longitude
0,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639
1,Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781
2,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529
3,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373
4,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899
5,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.81886627,144.9839701
6,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,-37.82137443,144.9484967
7,Place Of Assembly,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907
8,Place Of Assembly,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698
9,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,-37.81454075,144.980555
10,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,-37.82221828,144.95404
11,Place Of Assembly,Art Gallery/Museum,Immigration Museum,-37.81917988,144.9604268
12,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,-37.80857613,144.9753737
13,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.79739396,144.9641567
14,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.81338543,144.9540279
15,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,-37.81446049,144.9794713
16,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.80460262,144.9715219
17,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704
18,Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.81076861,144.9692339
